1,Marianna Gasparyan,WRPF,2019-04-27,USA-CA,F,30,Wraps,123,123.4,573.2,292.1,485,1350.3,709.96,458.158,54.34948185168187,562.1,17.450000000000003,253.0208333333333,26.354020677388064,286.6,-1.8500000000000085,412.35583333333324,39.51026681343196,479.5,-1.8500000000000085,37
3,Stefanie Cohen,WRPF,2019-04-27,USA-CA,F,27,Wraps,123,119.9,507,242.5,529.1,1278.6,685.45,382.61555555555566,62.106806194340535,503.3333333333333,1.375,189.3261904761905,29.62850377007309,235.13333333333333,-0.9166666666666714,441.0077380952381,59.118555960091506,525.4,17.47500000000001,15
5,Kristy Hawkins,USA-UA,2019-08-30,USA-CA,F,39,Wraps,165,164.7,628.3,330.7,562.1,1521.2,673.47,481.28444444444443,65.01433281130761,604.4,34.00000000000006,302.91904761904755,29.969724650126423,333.59999999999997,-6.249999999999972,508.9822916666667,51.41029492979514,562.1666666666667,-2.76666666666668,16
7,Yury Belkin,USA-UA,2019-08-30,USA-CA,M,28,Wraps,220,220.4,917.1,518.1,914.9,2350.1,656.14,791.9649999999999,115.93105099922242,977.3666666666667,22.033333333333342,494.7098290598292,77.73056964839991,653.9666666666666,1.2333333333333296,811.8793478260866,122.82605957079576,1014.05,-13.78333333333336,51
9,Eva Dunbar,RPS,2018-03-10,USA-NC,F,36,Wraps,148,147.6,536.8,315.2,518.1,1370.1,644.68,424.75624999999997,89.0271649899669,536.8,-29.02499999999999,263.678125,41.74149018336762,315.2,-13.133333333333326,485.11249999999995,48.329926398808915,518.1,-0.5625,9
11,Zahir Khudayarov,FPO,2015-09-26,Finland,M,32,Wraps,275,275.5,1041.6,573.2,837.7,2452.6,630.52,868.9672619047618,108.96253073075584,1041.6,-44.10000000000002,541.6473684210528,43.67263503994275,631.9666666666667,40.433333333333394,763.6766666666667,63.17691760960483,837.7,nan,22
13,Kody Blazek,USPA,2019-08-03,USA-TX,M,33,Wraps,181,179,744,485,771.6,2000.7,620.35,688.6,52.94900691545908,744.0,-17.90833333333333,454.34999999999997,22.90122510066026,468.4,-13.325000000000003,736.6666666666666,27.698696319100986,771.6,-13.324999999999989,6
15,John Haack,USPA,2019-08-03,USA-TX,M,26,Raw,181,181.6,688.9,512.5,799.1,2000.7,615.16,618.1411764705882,55.67679739329349,722.0,-4.277777777777753,432.88627450980397,52.08220673291344,501.5,0.0,706.874074074074,55.1173407295039,799.1,-1.375,19
17,Eric Lilliebridge,UPA,2016-07-16,USA-IA,M,26,Wraps,308,306.4,1052.7,551.1,854.3,2458.1,612.28,737.2093971631207,211.07175100403967,1003.1,-0.45833333333328596,423.9363333333333,99.60930075519441,527.2333333333332,-174.99999999999997,705.880392156863,129.34771374975125,865.2666666666668,4.56666666666672,53
19,Susan Salazar,USPA,2017-04-15,USA-CA,F,41,Wraps,132,128.9,462.9,259,474,1196,611.16,400.4053333333333,50.502215462954354,474.0,22.04444444444444,223.7506172839505,31.713816949426647,264.5,0.0,444.8982758620689,43.47925667269475,501.5,-11.0,33
21,Tom Martin #1,WRPF,2018-08-24,USA-CA,M,30,Wraps,220,218.9,843.2,440.9,887.3,2171.5,608.14,676.2608974358975,125.07946602436456,863.4333333333334,-14.649999999999977,399.96358024691364,45.266173866562696,459.2333333333333,-3.6666666666666288,784.3111111111111,73.50125485875714,878.1333333333333,5.483333333333235,30
23,Jenn Rotsinger,USPA,2019-02-08,USA-FL,F,40,Wraps,114,113.1,418.8,221.5,446.4,1086.8,606.63,348.29234693877544,55.9848137848791,455.0,0.8249999999999886,196.41037735849054,22.30001203154381,260.0,0.36666666666667425,392.8597756410255,32.12096912823999,451.9,3.674999999999997,56
25,Larry Williams #1,XPC,2020-03-07,USA-OH,M,25,Raw,308,283.6,870,645,855,2370,603.87,752.3452380952382,63.14127506319158,835.0,-0.8333333333333428,552.7705128205129,48.76957638934935,635.0,4.583333333333343,770.9848484848484,66.07381959871576,881.8,-10.899999999999977,16
27,Jason Legrand,365Strong,2018-04-20,USA-NC,M,24,Wraps,242,238,909.4,485,832.2,2226.6,602.50,838.7333333333333,56.832036479175784,900.1999999999999,3.208333333333343,461.64166666666665,19.588243558683004,479.5,-5.9750000000000085,755.8458333333333,46.9345743122596,828.5333333333334,-11.483333333333348,9
29,Kevin Oak,WRPF,2016-08-19,USA-CA,M,30,Wraps,220,220.2,859.8,501.5,789.2,2150.6,600.75,776.8101851851853,78.00665007240886,870.8,-12.375,461.4,104.278799715836,534.6,184.65,672.969298245614,189.5043988107294,821.2,319.70000000000005,22
31,Ben Pollack,SPF,2017-11-11,USA-CA,M,30,Wraps,198,197.8,799.1,424.4,815.7,2039.2,599.05,576.2128205128205,172.00456418280038,771.6,128.15,361.74487179487187,51.03676388453981,420.7,2.75,679.2692307692307,92.06873384671235,800.2,11.0,13
33,Egor Musienko,WPA-RUS,2019-12-21,Russia-KHA,M,26,Wraps,242,240.5,859.8,501.5,859.8,2221.1,598.57,726.4843434343435,121.79417461919118,922.1999999999999,4.274999999999977,424.87634408602156,78.78329687306041,617.3,-2.7333333333333485,717.197777777778,91.82506435850968,856.1,-1.8333333333333144,54
35,Jesse Norris,SPF,2015-11-07,USA-CA,M,22,Raw,198,197.8,766.1,440.9,826.7,2033.7,597.43,674.3249999999999,77.38558753732333,750.0,-7.349999999999966,371.17962962962963,43.81392344262787,440.0,-10.116666666666646,692.7308333333333,97.72870406735275,824.9,3.666666666666657,20
