1,Marianna Gasparyan,WRPF,2019-04-27,USA-CA,F,30,Wraps,123,123.4,573.2,292.1,485,1350.3,709.96,457.86333333333334,53.800172051132705,562.1,13.77888888888889,252.75833333333327,26.080571975474413,292.1,0.5105263157894746,412.35583333333324,39.51026681343196,479.5,-1.3386363636363632,37
3,Stefanie Cohen,WRPF,2019-04-27,USA-CA,F,27,Wraps,123,119.9,507,242.5,529.1,1278.6,685.45,382.1266666666668,61.1095272233415,496.0,-8.271428571428569,189.06309523809526,29.203765547633953,231.45,-5.811111111111113,440.4827380952382,58.33895984442599,518.1,-4.177083333333333,15
5,Kristy Hawkins,USA-UA,2019-08-30,USA-CA,F,39,Wraps,165,164.7,628.3,330.7,562.1,1521.2,673.47,480.48777777777775,63.452405756569206,592.45,-8.719230769230753,302.5119047619047,29.556729770481628,330.6666666666667,-8.866666666666662,508.465625,50.87895965799253,558.4666666666667,-11.037777777777785,16
7,Yury Belkin,USA-UA,2019-08-30,USA-CA,M,28,Wraps,220,220.4,917.1,518.1,914.9,2350.1,656.14,791.5973809523808,115.34476582468427,970.0,-4.316304347826086,494.61581196581216,77.53484643391619,650.3,-10.322988505747125,811.3999999999997,122.06016258437253,992.0,-5.462708333333327,51
9,Eva Dunbar,RPS,2018-03-10,USA-NC,F,36,Wraps,148,147.6,536.8,315.2,518.1,1370.1,644.68,408.75,82.79860159402405,536.8,-40.06333333333332,256.3178571428572,39.078437394295776,315.2,-18.421666666666663,483.31874999999997,47.281056970147006,518.1,-18.504166666666674,9
11,Zahir Khudayarov,FPO,2015-09-26,Finland,M,32,Wraps,275,275.5,1041.6,573.2,837.7,2452.6,630.52,867.3922619047619,106.49143892721786,1041.6,19.619444444444436,541.6473684210528,43.67263503994275,631.9666666666667,6.662500000000005,762.328888888889,62.57891120533741,837.7,9.735833333333336,22
13,Kody Blazek,USPA,2019-08-03,USA-TX,M,33,Wraps,181,179,744,485,771.6,2000.7,620.35,677.5200000000001,50.83058790400389,722.0,-29.400000000000006,448.21999999999997,19.33276723309131,468.4,-7.341666666666669,729.6800000000001,24.34996691761386,749.5333333333333,-14.241666666666674,6
15,John Haack,USPA,2019-08-03,USA-TX,M,26,Raw,181,181.6,688.9,512.5,799.1,2000.7,615.16,616.8980392156863,54.437775985508104,722.0,-10.957142857142852,432.07450980392167,51.135970066485704,512.5,-4.788095238095236,705.9546296296296,54.00374103646143,799.1,-8.153125000000003,19
17,Eric Lilliebridge,UPA,2016-07-16,USA-IA,M,26,Wraps,308,306.4,1052.7,551.1,854.3,2458.1,612.28,736.6232269503547,210.35432574805392,1001.2666666666668,-12.333749999999993,423.6426666666667,99.33636358889808,527.2333333333332,-14.63731884057971,705.1241830065361,128.50725903896662,856.1333333333333,-10.182638888888889,53
19,Susan Salazar,USPA,2017-04-15,USA-CA,F,41,Wraps,132,128.9,462.9,259,474,1196,611.16,397.3388888888889,49.15349582042725,474.0,-5.224561403508771,222.18333333333325,31.257346514237433,264.5,-1.7545454545454542,444.455172413793,43.15933337770755,501.5,-2.566666666666665,33
21,Tom Martin #1,WRPF,2018-08-24,USA-CA,M,30,Wraps,220,218.9,843.2,440.9,887.3,2171.5,608.14,675.8019230769231,124.38513829829984,859.75,-11.528030303030304,399.6919753086421,44.91752493599167,457.3999999999999,-4.438194444444444,783.0444444444444,72.21723002141397,878.1333333333333,-4.283333333333336,30
23,Jenn Rotsinger,USPA,2019-02-08,USA-FL,F,40,Wraps,114,113.1,418.8,221.5,446.4,1086.8,606.63,346.06927083333335,54.34770396248259,451.9,0.1873015873015868,195.18749999999997,20.645326815904657,253.5,-2.0215277777777767,391.7021241830065,31.32586581419122,446.4,0.2703703703703708,56
25,Larry Williams #1,XPC,2020-03-07,USA-OH,M,25,Raw,308,283.6,870,645,855,2370,603.87,750.3214285714286,61.46801072998332,835.0,-13.75,550.7192307692308,47.542619206619676,635.0,0.12999999999999545,759.9033333333334,57.87870341189388,855.0,-10.127777777777794,16
27,Jason Legrand,365Strong,2018-04-20,USA-NC,M,24,Wraps,242,238,909.4,485,832.2,2226.6,602.50,836.504761904762,54.26803311332939,884.5999999999999,-5.9533333333333305,460.37916666666666,18.85719043103668,479.5,-7.555555555555562,753.8916666666667,43.68905551083216,812.9000000000001,-10.855555555555574,9
29,Kevin Oak,WRPF,2016-08-19,USA-CA,M,30,Wraps,220,220.2,859.8,501.5,789.2,2150.6,600.75,771.2813725490197,76.68600727116265,850.0,-19.929166666666664,460.8033333333334,103.91579468957023,534.6,17.882352941176475,664.7342592592593,191.4682407214695,820.0,26.32435897435897,22
31,Ben Pollack,SPF,2017-11-11,USA-CA,M,30,Wraps,198,197.8,799.1,424.4,815.7,2039.2,599.05,574.5884615384615,170.24708506024405,771.6,18.375,361.1794871794873,50.365531990420415,413.35,-6.891666666666666,677.1487179487178,90.34152239981165,800.2,-17.458333333333332,13
33,Egor Musienko,WPA-RUS,2019-12-21,Russia-KHA,M,26,Wraps,242,240.5,859.8,501.5,859.8,2221.1,598.57,725.6328282828283,120.56377897231064,922.1999999999999,-7.5984848484848415,418.46222222222224,71.42469964255626,595.2,2.412280701754385,716.7900000000002,91.23304273046354,848.7666666666668,-7.5254629629629655,54
35,Jesse Norris,SPF,2015-11-07,USA-CA,M,22,Raw,198,197.8,766.1,440.9,826.7,2033.7,597.43,673.4055555555556,76.74309276789475,750.0,-11.969999999999994,370.56666666666666,43.1806268591334,440.0,-6.977777777777779,691.95,96.92373456299251,824.9,-13.828070175438594,20
